23.05.2025,instrumentType,expiryDate,optionType,strikePrice,openPrice,highPrice,lowPrice,closePrice,volume,name,token
20500Call,Index Options,29-May-2025,Call,20500,4371.45,4446.1,4358.05,4376.5,231,NIFTY29MAY2520500CE,61329
26500Put,Index Options,29-May-2025,Put,26500,1700.0,1708.65,1541.9,1622.0,229,NIFTY29MAY2526500PE,61828
24050Call,Index Options,29-May-2025,Call,24050,665.3,925.35,631.45,854.0,190,NIFTY29MAY2524050CE,61665
21000Call,Index Options,29-May-2025,Call,21000,3641.25,3955.0,3637.35,3873.45,150,NIFTY29MAY2521000CE,61355
25900Put,Index Options,29-May-2025,Put,25900,1194.5,1194.5,950.0,1032.8,111,NIFTY29MAY2525900PE,61798
25550Put,Index Options,29-May-2025,Put,25550,847.0,847.0,630.0,684.45,88,NIFTY29MAY2525550PE,61782
22650Call,Index Options,29-May-2025,Call,22650,2217.45,2217.45,2126.3,2129.75,85,NIFTY29MAY2522650CE,61511
23850Call,Index Options,29-May-2025,Call,23850,829.95,1120.05,829.95,1043.4,84,NIFTY29MAY2523850CE,61559
22300Call,Index Options,29-May-2025,Call,22300,2402.55,2650.75,2402.55,2569.7,82,NIFTY29MAY2522300CE,61497
23950Call,Index Options,29-May-2025,Call,23950,736.45,1019.15,724.85,950.4,79,NIFTY29MAY2523950CE,61621
22400Call,Index Options,29-May-2025,Call,22400,2251.7,2547.5,2251.05,2482.45,79,NIFTY29MAY2522400CE,61501
23750Call,Index Options,29-May-2025,Call,23750,1081.95,1219.85,1081.4,1160.0,58,NIFTY29MAY2523750CE,61555
23300Call,Index Options,29-May-2025,Call,23300,1350.3,1640.0,1340.15,1578.15,49,NIFTY29MAY2523300CE,61537
22700Call,Index Options,29-May-2025,Call,22700,1955.35,2258.95,1936.1,2188.6,42,NIFTY29MAY2522700CE,61513
23650Call,Index Options,29-May-2025,Call,23650,1154.0,1310.55,1154.0,1200.0,40,NIFTY29MAY2523650CE,61551
25650Put,Index Options,29-May-2025,Put,25650,1014.45,1014.45,710.0,786.25,38,NIFTY29MAY2525650PE,61786
23400Call,Index Options,29-May-2025,Call,23400,1434.15,1562.2,1434.15,1483.0,36,NIFTY29MAY2523400CE,61541
25750Put,Index Options,29-May-2025,Put,25750,1130.9,1130.9,824.4,883.25,35,NIFTY29MAY2525750PE,61790
21950Call,Index Options,29-May-2025,Call,21950,2686.15,2700.45,2675.8,2689.2,23,NIFTY29MAY2521950CE,61483
26700Put,Index Options,29-May-2025,Put,26700,2009.65,2064.55,2009.65,2052.1,17,NIFTY29MAY2526700PE,61912
23200Call,Index Options,29-May-2025,Call,23200,1655.75,1733.4,1606.9,1725.95,16,NIFTY29MAY2523200CE,61533
22800Call,Index Options,29-May-2025,Call,22800,1965.0,2140.0,1965.0,2074.25,16,NIFTY29MAY2522800CE,61517
22200Call,Index Options,29-May-2025,Call,22200,2438.85,2747.2,2438.85,2735.0,14,NIFTY29MAY2522200CE,61493
26600Put,Index Options,29-May-2025,Put,26600,1940.0,1940.0,1678.0,1714.5,14,NIFTY29MAY2526600PE,61908
23550Call,Index Options,29-May-2025,Call,23550,1159.55,1407.75,1133.5,1407.75,11,NIFTY29MAY2523550CE,61547
26050Put,Index Options,29-May-2025,Put,26050,1393.0,1411.05,1373.05,1378.9,10,NIFTY29MAY2526050PE,61804
